Time	PID	OldState	NewState	Turnaround	WaitTime
0	1001	READY	RUNNING	0	0
1	1001	RUNNING	READY	0	0
1	1001	READY	RUNNING	0	0
2	1001	RUNNING	READY	0	0
2	1001	READY	RUNNING	0	0
3	1001	RUNNING	READY	0	0
3	1002	READY	RUNNING	0	0
4	1002	RUNNING	READY	0	0
4	1001	READY	RUNNING	0	0
5	1001	RUNNING	READY	0	0
5	1002	READY	RUNNING	0	0
6	1002	RUNNING	READY	0	0
6	1001	READY	RUNNING	0	0
7	1001	RUNNING	READY	0	0
7	1002	READY	RUNNING	0	0
8	1002	RUNNING	READY	0	0
8	1001	READY	RUNNING	0	0
9	1001	RUNNING	READY	0	0
9	1003	READY	RUNNING	0	0
10	1003	RUNNING	READY	0	0
10	1002	READY	RUNNING	0	0
11	1002	RUNNING	READY	0	0
11	1001	READY	RUNNING	0	0
12	1001	RUNNING	READY	0	0
12	1003	READY	RUNNING	0	0
13	1003	RUNNING	READY	0	0
13	1004	READY	RUNNING	0	0
14	1004	RUNNING	READY	0	0
14	1002	READY	RUNNING	0	0
15	1002	RUNNING	READY	0	0
15	1001	READY	RUNNING	0	0
16	1001	RUNNING	READY	0	0
16	1005	READY	RUNNING	0	0
17	1005	RUNNING	READY	0	0
17	1003	READY	RUNNING	0	0
18	1003	RUNNING	READY	0	0
18	1004	READY	RUNNING	0	0
19	1004	RUNNING	READY	0	0
19	1002	READY	RUNNING	0	0
20	1002	RUNNING	READY	0	0
20	1001	READY	RUNNING	0	0
21	1001	RUNNING	READY	0	0
21	1005	READY	RUNNING	0	0
22	1005	RUNNING	READY	0	0
22	1003	READY	RUNNING	0	0
23	1003	RUNNING	READY	0	0
23	1004	READY	RUNNING	0	0
24	1004	RUNNING	READY	0	0
24	1002	READY	RUNNING	0	0
25	1002	RUNNING	TERMINATED	22	15
25	1001	READY	RUNNING	0	0
26	1001	RUNNING	READY	0	0
26	1005	READY	RUNNING	0	0
27	1005	RUNNING	READY	0	0
27	1003	READY	RUNNING	0	0
28	1003	RUNNING	READY	0	0
28	1004	READY	RUNNING	0	0
29	1004	RUNNING	READY	0	0
29	1001	READY	RUNNING	0	0
30	1001	RUNNING	READY	0	0
30	1005	READY	RUNNING	0	0
31	1005	RUNNING	READY	0	0
31	1003	READY	RUNNING	0	0
32	1003	RUNNING	READY	0	0
32	1004	READY	RUNNING	0	0
33	1004	RUNNING	READY	0	0
33	1001	READY	RUNNING	0	0
34	1001	RUNNING	READY	0	0
34	1005	READY	RUNNING	0	0
35	1005	RUNNING	READY	0	0
35	1003	READY	RUNNING	0	0
36	1003	RUNNING	READY	0	0
36	1004	READY	RUNNING	0	0
37	1004	RUNNING	READY	0	0
37	1001	READY	RUNNING	0	0
38	1001	RUNNING	READY	0	0
38	1005	READY	RUNNING	0	0
39	1005	RUNNING	READY	0	0
39	1003	READY	RUNNING	0	0
40	1003	RUNNING	READY	0	0
40	1004	READY	RUNNING	0	0
41	1004	RUNNING	READY	0	0
41	1001	READY	RUNNING	0	0
42	1001	RUNNING	READY	0	0
42	1005	READY	RUNNING	0	0
43	1005	RUNNING	READY	0	0
43	1003	READY	RUNNING	0	0
44	1003	RUNNING	READY	0	0
44	1004	READY	RUNNING	0	0
45	1004	RUNNING	READY	0	0
45	1001	READY	RUNNING	0	0
46	1001	RUNNING	READY	0	0
46	1005	READY	RUNNING	0	0
47	1005	RUNNING	READY	0	0
47	1003	READY	RUNNING	0	0
48	1003	RUNNING	READY	0	0
48	1004	READY	RUNNING	0	0
49	1004	RUNNING	READY	0	0
49	1001	READY	RUNNING	0	0
50	1001	RUNNING	READY	0	0
50	1005	READY	RUNNING	0	0
51	1005	RUNNING	TERMINATED	38	29
51	1003	READY	RUNNING	0	0
52	1003	RUNNING	READY	0	0
52	1004	READY	RUNNING	0	0
53	1004	RUNNING	TERMINATED	42	32
53	1001	READY	RUNNING	0	0
54	1001	RUNNING	READY	0	0
54	1003	READY	RUNNING	0	0
55	1003	RUNNING	TERMINATED	47	35
55	1001	READY	RUNNING	0	0
56	1001	RUNNING	TERMINATED	56	38
